XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
7512450 3528450 67.697685275 27.667462129 39 24592 11.4 18.6 2614 2.8386 3940 0 72.9 1.2687321 1.04
6900950 3244230 62.127286306 22.091636462 24 16584.2 7.89 29 2612 4.7227 5020 1 72.5 2.6004509 1.07
7401460 3518630 66.703291102 27.418053064 39 24592 8.51 27.6 2633 3.5939 5500 3 76.8 1.37 0.54
6785520 3506040 61.178498130 27.109100242 14 13371 8.91 24.9 2610 4.8472 5320 1 73.3 0.989791 0.4
7278218 3605233 65.581581681 29.277015113 76 55413.3 14.1 7.29 2724 1.5189 5920 3 70.7 2.14 0.63
6902650 3468920 62.228285027 26.399088537 24 16584.2 6.88 32 2620 4.8721 5480 1 70.9 2.2045345 0.62
6686690 3148660 60.140122742 20.667298363 14 13371 4.54 39.3 2652 5.0298 6000 1 69.7 2.3665003 0.4
7120750 3427700 64.178633151 25.509290341 24 16584.2 8.31 25.3 2624 5.3784 5010 0 68.2 2.25 0.31
7000750 3706442 63.050995669 31.079756985 67 6997.8 11.3 17 2603 3.5939 5130 1 75.8 0.91 0.79
6723980 3463370 60.624565036 26.327793298 8 9523.8 7.97 26.2 2673 4.5816 5100 1 70.5 3.4462723 0.62
6744450 3496030 60.809946107 26.923945483 8 9523.8 6.03 34.3 2628 4.6729 4170 1 73 2.3305079 0.73
6936740 3679350 62.492186177 30.476965514 68 1730.9 3.9 41.9 2625 4.9551 5520 0 71.4 2.2585231 0.62
7374900 3527220 66.464496064 27.606755364 39 24592 4.88 39.1 2629 4.2081 5400 0 73.2 1.27 0.39
7077308 3578367 63.787850089 28.586143583 63 73.9 5.89 35.8 2612 4.1666 3870 1 74.8 1.56 0.84
7027602 3585624 63.340450336 28.706398193 76 55413.3 13.8 5.58 2587 5.1045 4040 0 74.5 0.36 0.99
6689160 3359960 60.289549183 24.464695828 14 13371 3.95 41.1 2621 5.2705 5030 1 73.2 1.5836656 0.45
6855680 3229150 61.712189047 21.872201984 15 44421.3 8.32 24.9 2758 2.6975 5600 0 64.2 4.7869892 0.21
6758760 3340830 60.906343889 24.063104084 14 13371 11.2 15.3 2601 4.5069 4900 1 74.5 0.61906928 0.77
7166000 3495250 64.592103980 26.897221870 39 24592 11.8 12.9 2640 3.9259 5990 0 74 1 0.56
6976630 3673590 62.852192500 30.406270155 68 1730.9 7.47 28.7 2614 4.5567 5330 0 74.2 0.9987891 0.48
6705230 3454210 60.455357829 26.164839027 8 9523.8 7.37 28.7 2638 4.3741 3280 0 74.5 2.4474832 0.37
7205386 3591301 64.932961655 28.927087721 76 55413.3 1.37 50.7 2649 4.3409 5580 0 70.6 2.25 0.62
7708200 3537720 69.451331667 27.958181373 85 3786.1 10.3 18 2641 3.8263 4400 3 75.7 1.17 0.67
6689160 3278090 60.253103274 22.987764735 14 13371 4.3 39.5 2635 4.4156 5140 0 72.2 2.0425687 0.48
6704440 3090770 60.244382641 19.598070837 9 3089.7 7.79 27.3 2585 4.6646 5020 1 76 1.6016618 0.68
6715900 3447050 60.550228003 26.031897102 8 9523.8 4.61 38.4 2612 4.6646 4940 0 75.5 1.709639 0.65
6677870 3370780 60.191890142 24.667361300 19 2296.7 11.1 17.3 2689 1.0375 6040 0 76.2 2.429487 0.24
6697090 3409880 60.374850500 25.363256142 14 13371 4.59 36.9 2633 5.2954 4870 0 70.4 0.89981 0.58
6668870 3299850 60.082641575 23.399896665 14 13371 4.86 37.1 2621 4.565 5630 0 74.1 1.2417378 0.6
6750390 3446700 60.859672532 26.016101903 14 13371 6.82 29.7 2624 4.4571 5810 0 73.4 1.5746675 0.47
7397850 3411270 66.658631928 24.989746306 39 24592 2.97 43.6 2636 4.5318 ND 0 72.8 1.46 1.05
7205400 3430960 64.938350359 25.536146732 39 24592 7.29 27.9 2636 4.2413 5630 0 72.7 1.97 0.41
7292550 3472570 65.725983323 26.398515725 76 55413.3 6.81 30.3 2609 4.2496 3950 3 74.5 0.89 0.9
7736920 3546860 69.707282303 28.205819739 83 1161.5 11.2 13.4 2627 4.3326 ND 3 74.1 0.93 ND
6878240 3635200 61.986516462 29.576316747 14 13371 2.98 44.2 2625 4.1583 5270 1 73.9 1.6286561 0.39
6717820 3493070 60.570908356 26.870531422 8 9523.8 8.66 23.1 2640 3.8678 5050 1 73.7 0.83862292 0.4
6744870 3474160 60.812885017 26.522102681 8 9523.8 6.78 28.4 2675 4.4322 4880 1 68.9 4.1841165 0.55
6698780 3192720 60.283614377 21.438100544 14 13371 1.44 48.3 2652 4.7476 4890 1 73.1 1.0977682 0.43
7520360 3366090 67.739173900 23.828440932 39 24592 3.9 41.2 2608 3.984 ND 0 73.1 1.56 1.57
7370110 3511500 66.422513096 27.253678020 53 9371.4 7.01 26.7 2704 4.3824 ND 3 71.5 4.97 0.59
6737150 3384580 60.727711728 24.881568988 14 13371 7.05 28.6 2613 4.3658 5350 1 73.7 1.3137226 0.77
7074820 3524900 63.773370424 27.501302448 68 1730.9 9.83 19.1 2598 3.9342 4860 0 74.6 0.74 0.76
6684670 3205210 60.166766934 21.683401293 14 13371 6.83 28.2 2635 4.6148 5510 1 72.7 1.6646485 0.34
7457550 3366850 67.177176977 23.920081078 39 24592 6.56 31 2634 3.2619 ND 3 73.7 2.35 1.42
7345030 3548160 66.194151383 28.065022311 39 24592 6.5 26.8 2695 5.4614 5770 3 69.5 4.87 0.47
6797020 3466730 61.280307878 26.376465138 8 9523.8 4.77 34.8 2637 5.2041 5030 0 72.2 2.1685421 0.6
7052250 3427640 63.564340885 25.540288395 24 16584.2 6.13 27 2651 6.8973 4800 0 62.6 2.14 0.53
6676110 3310630 60.152634365 23.586504616 18 15883.8 11.5 12.7 2677 2.2825 5720 3 71.9 2.8433996 0.32
7742900 3561710 69.757819779 28.593212612 12 940.7 2.8 43.8 2619 4.1583 ND 3 71 3.05 ND
6659630 3305050 60.002369885 23.501920371 14 13371 11.6 12.9 2692 1.6102 6010 0 68.9 3.4282761 0.15
6793710 3513470 61.251812920 27.247769089 8 9523.8 4.44 35.9 2650 4.9219 ND 1 71.1 2.2765193 0.9
6667870 3291550 60.069546657 23.252113928 14 13371 6.67 30 2601 3.9508 5060 0 75.1 0.57497859 0.6
